,h,t,r,type,newEntities,pair_c,ori_head_text,ori_relation_text,ori_tail_text
0,Q5035460,Q253276,currently,KG,,0.05360504984855652,The Capital Area Greenway,currently,over 112 miles
1,Q5035460,Q712226,currently,KG,,0.03897815942764282,The Capital Area Greenway,currently,12 km²
2,Q5035460,Q970,currently,KG,,0.05071336030960083,The Capital Area Greenway,currently,161 km
3,Q5035460,Q970,span,KG,,0.06521926447749138,The Capital Area Greenway,span,161 km
4,Q5035460,Q81292,currently,KG,,0.04401472397148609,The Capital Area Greenway,currently,3800 acres
5,Q5035460,Q712226,span,KG,,0.04956731293350458,The Capital Area Greenway,span,12 km²
6,Q5035460,Q81292,span,KG,,0.0562371127307415,The Capital Area Greenway,span,3800 acres
7,Q5035460,Q253276,span,KG,,0.07278168201446533,The Capital Area Greenway,span,over 112 miles
8,Q5035460,Q506215,span,KG,,0.04965304210782051,The Capital Area Greenway,span,much Wake County
9,Q5035460,Q506215,currently,KG,,0.038102406077086926,The Capital Area Greenway,currently,much Wake County
10,Q253276,Q506215,throughout,KG,,0.042811667546629906,over 112 miles,throughout,much Wake County
11,Q5035460,Q506215,throughout,KG,,0.03939488250762224,The Capital Area Greenway,throughout,much Wake County
12,Q970,Q506215,throughout,KG,,0.03967956826090813,161 km,throughout,much Wake County
13,Q712226,Q506215,throughout,KG,,0.0534221138805151,12 km²,throughout,much Wake County
14,Q81292,Q506215,throughout,KG,,0.043360951356589794,3800 acres,throughout,much Wake County
15,Q58778,.,integrate,Open_KG,tail_,0.05983412824571133,similar systems,integrate,.
16,Q58778,.,build,Open_KG,tail_,0.0436859168112278,similar systems,build,.
17,Q58778,.,formally,Open_KG,tail_,0.03803820349276066,similar systems,formally,.
18,Q58778,.,within,Open_KG,tail_,0.031781647354364395,similar systems,within,.
19,Q58778,Q3957,build,KG,,0.07813913002610207,similar systems,build,individual towns
20,Q58778,Q506215,build,KG,,0.047925543040037155,similar systems,build,Wake County
21,Q58778,Q506215,within,KG,,0.042074697092175484,similar systems,within,Wake County
22,Q58778,.,build,Open_KG,tail_,0.0436859168112278,similar systems,build,.
23,Q58778,.,integrate,Open_KG,tail_,0.05983412824571133,similar systems,integrate,.
24,Q58778,.,formally,Open_KG,tail_,0.03803820349276066,similar systems,formally,.
25,Q58778,.,within,Open_KG,tail_,0.031781647354364395,similar systems,within,.
26,Q28575,.,integrate,Open_KG,tail_,0.04283994063735008,neighboring counties,integrate,.
27,Q28575,.,build,Open_KG,tail_,0.03678574040532112,neighboring counties,build,.
28,Q28575,.,within,Open_KG,tail_,0.031209085136651993,neighboring counties,within,.
29,Q28575,.,formally,Open_KG,tail_,0.034625472500920296,neighboring counties,formally,.
30,Q28575,Q3957,build,KG,,0.07123895362019539,neighboring counties,build,individual towns
31,Q28575,Q506215,build,KG,,0.04102536663413048,neighboring counties,build,Wake County
32,Q28575,Q506215,within,KG,,0.04150213487446308,neighboring counties,within,Wake County
33,Q28575,.,integrate,Open_KG,tail_,0.04283994063735008,neighboring counties,integrate,.
34,Q28575,.,build,Open_KG,tail_,0.03678574040532112,neighboring counties,build,.
35,Q28575,.,formally,Open_KG,tail_,0.034625472500920296,neighboring counties,formally,.
36,Q28575,.,within,Open_KG,tail_,0.031209085136651993,neighboring counties,within,.
37,Q628179,.,build,Open_KG,tail_,0.08390931040048599,trails,build,.
38,Q628179,.,within,Open_KG,tail_,0.039285801351070404,trails,within,.
39,Q628179,.,integrate,Open_KG,tail_,0.05011085979640484,trails,integrate,.
40,Q628179,.,formally,Open_KG,tail_,0.03198413364589214,trails,formally,.
41,Q628179,Q506215,build,KG,,0.08814893662929535,trails,build,Wake County
42,Q628179,Q3957,build,KG,,0.11836252361536026,trails,build,individual towns
43,Q628179,Q506215,within,KG,,0.04957885108888149,trails,within,Wake County
44,Q628179,.,build,Open_KG,tail_,0.08390931040048599,trails,build,.
45,Q628179,.,integrate,Open_KG,tail_,0.05011085979640484,trails,integrate,.
46,Q628179,.,within,Open_KG,tail_,0.039285801351070404,trails,within,.
47,Q628179,.,formally,Open_KG,tail_,0.03198413364589214,trails,formally,.
48,Q3957,.,integrate,Open_KG,tail_,0.05934117175638676,individual towns,integrate,.
49,Q3957,.,within,Open_KG,tail_,0.04334496520459652,individual towns,within,.
50,Q3957,.,formally,Open_KG,tail_,0.03744782134890556,individual towns,formally,.
51,Q3957,Q506215,within,KG,,0.05363801494240761,individual towns,within,Wake County
52,Q3957,.,integrate,Open_KG,tail_,0.05934117175638676,individual towns,integrate,.
53,Q3957,.,formally,Open_KG,tail_,0.03744782134890556,individual towns,formally,.
54,Q3957,.,within,Open_KG,tail_,0.04334496520459652,individual towns,within,.
55,Q506215,.,integrate,Open_KG,tail_,0.03766409680247307,Wake County,integrate,.
