,h,t,r,c
0,the summer,the idea,['raise'],0.07193832565099001
1,the summer,a national convention,['raise'],0.04812492150813341
2,the summer,the issue,['resolve'],0.029310036450624466
3,the summer,the issue,['raise'],0.021634572185575962
4,the summer,nomination,['raise'],0.045247492380440235
5,the summer,nomination,['resolve'],0.041831426322460175
6,the summer,the Congressional nominating caucus,['raise'],0.03937720973044634
7,the summer,the Congressional nominating caucus,['resolve'],0.03803270868957043
8,the summer,the devotees,['appeal'],0.03282903879880905
9,the summer,Treasury Secretary William H. Crawford 's candidacy,['appeal'],0.03999084234237671
10,the summer,the devotees,['raise'],0.024768398143351078
11,the summer,Treasury Secretary William H. Crawford 's candidacy,['raise'],0.02990261185914278
12,the summer,the devotees,['resolve'],0.022112061269581318
13,the summer,Treasury Secretary William H. Crawford 's candidacy,['resolve'],0.02699699718505144
14,"Richmond Junto "" leader Thomas Ritchie",a national convention,['raise'],0.04867286514490843
15,"Richmond Junto "" leader Thomas Ritchie",the issue,['resolve'],0.02784707397222519
16,"Richmond Junto "" leader Thomas Ritchie",the issue,['raise'],0.02218251582235098
17,"Richmond Junto "" leader Thomas Ritchie",nomination,['raise'],0.04579543601721525
18,"Richmond Junto "" leader Thomas Ritchie",nomination,['resolve'],0.0403684638440609
19,"Richmond Junto "" leader Thomas Ritchie",the idea,['raise'],0.07248626928776503
20,"Richmond Junto "" leader Thomas Ritchie",the Congressional nominating caucus,['resolve'],0.03656974621117115
21,"Richmond Junto "" leader Thomas Ritchie",the Congressional nominating caucus,['raise'],0.039925153367221355
22,"Richmond Junto "" leader Thomas Ritchie",the devotees,['raise'],0.025316341780126095
23,"Richmond Junto "" leader Thomas Ritchie",the devotees,['resolve'],0.02064909879118204
24,"Richmond Junto "" leader Thomas Ritchie",Treasury Secretary William H. Crawford 's candidacy,['appeal'],0.03706544358283281
25,"Richmond Junto "" leader Thomas Ritchie",Treasury Secretary William H. Crawford 's candidacy,['resolve'],0.025534034706652164
26,Virginia,the idea,['raise'],0.0989755243062973
27,Virginia,a national convention,['raise'],0.0751621201634407
28,"Richmond Junto "" leader Thomas Ritchie",the devotees,['appeal'],0.029903640039265156
29,Virginia,the issue,['raise'],0.048671770840883255
30,Virginia,nomination,['resolve'],0.0434811981394887
31,Virginia,nomination,['raise'],0.07228469103574753
32,Virginia,the issue,['resolve'],0.03095980826765299
33,"Richmond Junto "" leader Thomas Ritchie",Treasury Secretary William H. Crawford 's candidacy,['raise'],0.030450555495917797
34,Virginia,the devotees,['appeal'],0.034537313506007195
