,0,coref_text
0,"Mary Frances Reynolds ( April 1 , 1932 – December 28 , 2016 ) , known professionally as Debbie Reynolds , was an American actress , singer , and businesswoman . Mary Frances Reynolds career spanned almost 70 years . Mary Frances Reynolds was nominated for the Golden Globe Award for Most Promising Newcomer for Mary Frances Reynolds portrayal of Helen Kane in the 1950 film Three Little Words , and Mary Frances Reynolds breakout role was Mary Frances Reynolds first leading role , as Kathy Selden in Singin ' in the Rain ( 1952 ) . Mary Frances Reynolds other successes include The Affairs of Dobie Gillis ( 1953 ) , Susan Slept Here ( 1954 ) , Bundle of Joy ( 1956 Golden Globe nomination ) , The Catered Affair ( 1956 National Board of Review Best Supporting Actress Winner ) , and Tammy and the Bachelor ( 1957 ) , in which Mary Frances Reynolds performance of the song "" Tammy "" reached number one on the Billboard music charts . In 1959 , Mary Frances Reynolds released Mary Frances Reynolds first pop music album , titled Debbie . Mary Frances Reynolds starred in Singin ' in the Rain ( 1952 ) , How the West Was Won ( 1962 ) , and The Unsinkable Molly Brown ( 1964 ) , a biographical film about the famously boisterous Molly Brown . Mary Frances Reynolds performance as the famously boisterous Molly Brown earned Mary Frances Reynolds a nomination for the Academy Award for Best Actress . Mary Frances Reynolds other films include The Singing Nun ( 1966 ) , Divorce American Style ( 1967 ) , What 's the Matter with Helen ? ( 1971 ) , Charlotte 's Web ( 1973 ) , Mother ( 1996 ) ( Golden Globe nomination ) , and In & Out ( 1997 ) . Mary Frances Reynolds was also a cabaret performer . In 1979 , Mary Frances Reynolds founded the Debbie Reynolds Dance Studio in North Hollywood , which still operates today . In 1969 , Mary Frances Reynolds starred on television in The Debbie Reynolds Show , for which Mary Frances Reynolds received a Golden Globe nomination . In 1973 , Mary Frances Reynolds starred in a Broadway revival of the musical Irene and was nominated for the Tony Award for Best Lead Actress in a Musical . Mary Frances Reynolds was also nominated for a Daytime Emmy Award for Mary Frances Reynolds performance in A Gift of Love ( 1999 ) and an Emmy Award for playing Grace 's mother Bobbi on Will & Grace . At the turn of the millennium , Mary Frances Reynolds reached a new , younger generation with Mary Frances Reynolds role as Aggie Cromwell in Disney 's Halloweentown series .",
0,"A digital copy is a commercially distributed computer file containing a media product such as a film or music album . The term contrasts a commercially distributed computer file containing a media product such as a film or music album with the physical copy ( typically a DVD , Blu - Ray , Blu - Ray 3D , or 4 K Ultra HD Blu - Ray disc ) with which A digital copy is usually offered as part of a bundle . A digital copy allows a media product such as a film or music album purchaser to acquire a single copy of a film on digital device such as a personal computer , smartphone , tablet computer , or digital media player , and view a single copy of a film on digital device such as a personal computer , smartphone , tablet computer , or digital media player without requiring access to the physical copy ( typically a DVD , Blu - Ray , Blu - Ray 3D , or 4 K Ultra HD Blu - Ray disc . "" Digital copy "" is also commonly referred to as "" Digital HD "" ( where Digital HD is referencing a high - definition or UHD digital copy ) . 


 = = Features = = 

 There are three types of a digital copy . The first is a copy made in advance and included on a media product such as a film or music album . The second is created dynamically from the DVD content the DVD content . In both scenarios the publisher decides which content , formats , digital rights management ( DRM ) systems and technical parameters are used for a digital copy . Digital Copy systems based on existing pre - generated files are less flexible than dynamic transcoding solutions . The third version is an alphanumeric code included on a slip of paper within a film keep case , which is typed in and redeemed at an online portal which allows the customer to download a film at the store of the customer choice , using the customer own bandwidth , or stream a film through a cloud service at the time of viewing as part of a retailer 's digital locker where the customer retains permanent access to a film digital file . 
 In the past with the first two types , the digital copy files based on existing files included only the main audio track ( often only stereo ) and no subtitles , compared to the multiple audio tracks and multiple subtitle options available from DVD and Blu - ray . Also , the quality was limited by the bitrate used to encode the file which is typically relatively low and not adjusted to the device to be transferred to . Bonus feat",
0,"This is a list of films from Blue Sky Studios , an American CGI film production company based in Greenwich , Connecticut , United States . As of 2019 , Blue Sky Studios , an American CGI film production company based in Greenwich , Connecticut , United States has released 13 feature films , which were all released by 20th Century Fox . Blue Sky Studios , an American CGI film production company based in Greenwich , Connecticut , United States produced Blue Sky Studios , an American CGI film production company based in Greenwich , Connecticut , United States first feature - length film , Ice Age , in 2002 . Blue Sky Studios , an American CGI film production company based in Greenwich , Connecticut , United States second production , Robots , was released in 2005 , followed by Blue Sky Studios , an American CGI film production company based in Greenwich , Connecticut , United States first sequel , Ice Age : The Meltdown , in 2006 . 
 Blue Sky Studios , an American CGI film production company based in Greenwich , Connecticut , United States is one of the Fox film studios that was acquired by Disney on March 20 , 2019.Blue Sky 's last film was Spies in Disguise , which was released on December 25 , 2019 . 


 = = Feature films = = 


 = = = Released films = = = 


 = = = Cancelled films = = = 
 Nimona , the film adaptation of Nimona book series . it was announced that Nimona , the film adaptation of Nimona book series . was cancelled due to the closure of Blue Sky Studios , an American CGI film production company based in Greenwich , Connecticut , United States . 
 Anubis , the film adaptation of The Anubis Tapestry book series . 
 Mutts , a film adaptation to the popular comic strip of the same name 
 Frogkisser , an animated fairy - tale themed comedy film 
 Foster , an animated fantasy musical . 
 Santa Calls , one of the earliest films developed by Blue Sky Studios , an American CGI film production company based in Greenwich , Connecticut , United States . Due to story troubles and disinterest from 20th Century Fox , Santa Calls , one of the earliest films developed by Blue Sky Studios , an American CGI film production company based in Greenwich , Connecticut , United States . was canceled and the team went to work on Robots instead . 
 Spore , a film adaptation of the popular Electronic Arts video game . 
 The Wainscott Weasel , a film adaption of Tor Seidler 's children 's book The Wainscott Weasel . 
 The Iguana Brothers , a film adaptation of the Tony Johnson and Mark Teague children ’s book The Iguana Brothers : A Tale of Two Lizards . 


 = = Reception = = 


 = = = Critical and public reception = = = 


 = = = Box office performance = = = 


 = = = Academy Award wins and nominations = = = 


 = = = Golden Globes Award wins and nominations = = = 


 = = See also = = 
 List of computer - animated films 
 List of Walt Disney Animation Studios films 
 List of Pixar films 
 List of 20th Century Studios theatrical animated features 
 List of Disney theatrical animated features 


 = = References = = 


 = = External links = = 
 Blue Sky Studios at IMDb",
0,"The National Student Film Institute ( NSFI ) , formerly the Los Angeles Student Film Institute ( LASFI ) , was founded in 1978 by Brenda Norman , Dave Master , Jutti Marsh and Ralph Rogers as a festival for films made by children from kindergarten through ninth grade .   Two years later The National Student Film Institute ( NSFI ) , formerly the Los Angeles Student Film Institute ( LASFI ) was expanded to include the work of all high school students .   The first of what became an annual festival included approximately 350 students who entered 125 films .   By 1993 , The National Student Film Institute ( NSFI ) , formerly the Los Angeles Student Film Institute ( LASFI ) involved over two thousand students throughout the Los Angeles area , who together entered over 300 films .   The National Student Film Institute ( NSFI ) , formerly the Los Angeles Student Film Institute ( LASFI ) was held each year at the Directors Guild Theater in Hollywood . As demand for workshops , advice and support for teachers grew , The National Student Film Institute ( NSFI ) , formerly the Los Angeles Student Film Institute ( LASFI ) Board of Directors expanded the activities of The National Student Film Institute ( NSFI ) , formerly the Los Angeles Student Film Institute ( LASFI ) to include workshops for teachers , equipment loans , and support for filmmaking programs in schools . 


 = = Entertainment industry involvement = = 
 Prominent members of the film , television and animation industry came to support The National Student Film Institute ( NSFI ) , formerly the Los Angeles Student Film Institute ( LASFI ) and The National Student Film Institute ( NSFI ) , formerly the Los Angeles Student Film Institute ( LASFI ) endeavors . On a corporate level involvement came from CBS , NBC , ABC , the Directors Guild , Amblin Entertainment , Warner Brothers , Universal , Lucasfilm and others . Individuals from the film , television and animation industry who would serve on the Board of Advisors ( and in other capacities ) were : Steve Allen , Ralph Bakshi , Ray Bradbury * , Lloyd Bridges , Charles Champlin * , Jackie Cooper * , Bill Cosby , June Foray , Sharon Gless * , Tom Hatten , Arthur Hiller * , Cal Howard , Ollie Johnston , Chuck Jones * , Fay Kanin , Kathleen Kennedy * , Walter Lantz , Jack Lemmon , Bill Littlejohn , Lynne Littman , Leonard Maltin , Delbert Mann * , Walter Matthau , Bill Melendez , Lee Mishkin , Grim Natwick * , Daphne Maxwell Reid * , Tim Reid * , Joan Rivers , George Schaefer * , Frank Thomas , Arthur Wilde and Robert Wise . ( * ) indicates "" Past Honorary Chairperson "" .   Generally one person would hold the position of Honorary Chairperson each year . 


 = = Festival Categories = = 
 Grimmy Awards 
 Elemen",
0,"A film studio ( also known as movie studio or simply studio ) is a major entertainment company or motion picture company that has its own privately owned studio facility or facilities that are used to make films , which is handled by the production company . Most firms in the entertainment industry have never owned Most firms in the entertainment industry own studios , but have rented space from other companies . 
 There are also independently owned studio facilities , who have never produced a motion picture of independently owned studio facilities , who have never produced a motion picture of own because independently owned studio facilities , who have never produced a motion picture of are not entertainment companies or motion picture companies ; independently owned studio facilities , who have never produced a motion picture of are companies who sell only studio space . 
 The largest film studio in the world is Ramoji Film City , in Hyderabad , India . 


 = = Beginnings = = 
   In 1893 , Thomas Edison built the first movie studio in the United States when Thomas Edison constructed the Black Maria , a tarpaper - covered structure near Thomas Edison laboratories in West Orange , New Jersey , and asked circus , vaudeville , and dramatic actors to perform for the camera . Thomas Edison distributed these movies at vaudeville theaters , penny arcades , wax museums , and fairgrounds . The first film serial , What Happened to Mary , was released by the first movie studio in the United States in 1912 . The pioneering Thanhouser film studio was founded in New Rochelle , New York in 1909 by American theatrical impresario Edwin Thanhouser . The pioneering Thanhouser film studio produced and released 1,086 films between 1910 and 1917 , successfully distributing 1,086 films around the world . 
 In the early 1900s , companies started moving to Los Angeles , California . Although electric lights were by then widely available , none were yet powerful enough to adequately expose film ; the best source of illumination for motion picture production was natural sunlight . Some movies were shot on the roofs of buildings in Downtown Los Angeles . Early movie producers also relocated to Southern California to escape Thomas Edison Motion Picture Patents Company , which controlled almost all the patents relevant to movie production at the time . 
 The first movie studio in the Hollywood area was Nes",
0,Depictions of incest in film .,
0,"The decade of the 1990s in film involved many significant developments in cinema . Continuing from the 1980s , low - budget independent films unceasingly rose and maintained low - budget independent films popularity in the industry within The decade of the 1990s in film . 


 = = Events = = 
 Thousands of full - length films were produced during The decade of the 1990s in film . Many were specifically filmed or edited to be displayed both on theater screens as well as on the smaller TV screens , such as showing close - up scenes during dialog , rather than just wide - angle scenes in a room . The home - video market became a major factor in total revenue for a film , often doubling a film total income . 
 The decade of the 1990s in film were notable in both the rise of independent cinema – as well as independent studios such as Miramax , Lions Gate , and New Line – and the advancements in CGI - technology , seen in such films as Terminator 2 : Judgment Day , Jurassic Park , and Forrest Gump . Toy Story ( 1995 ) became the first feature length film to be completely computer animated , heralding its use as a tool for filmmakers to achieve new visuals for film . 
 The Disney Renaissance began in late 1989 with The Little Mermaid , reached The Disney Renaissance peak in popularity with The Lion King in 1994 , and ended in 1999 with Tarzan . 
 1988 's Die Hard established what would become a common formula for many The decade of the 1990s in film action films , featuring a lone everyman against a colorful terrorist character , who 's usually holding hostages , in an isolated setting . Such films and Such films sequels are often referred to as "" Die Hard on a _ _ _ _ _ "" : Under Siege ( battleship ) , Cliffhanger ( mountain ) , Speed ( bus ) , The Rock ( prison island ) , Con Air ( prison plane ) , Air Force One ( presidential plane ) , etc ... 
 A resurgence of disaster films dominated the box office with blockbusters such as Twister , Independence Day , Titanic , and Armageddon . 
 Several leading figures of the 1980s to mid-1990s Hong Kong action cinema migrated to Hollywood with varying success : Jackie Chan , Jet Li , Chow Yun - fat , Michelle Yeoh , John Woo , Yuen Woo - ping , Tsui Hark , etc ... Updating mar",
0,"The Dawson Film Find ( DFF ) was the accidental 1978 discovery of 533 reels of silent - era nitrate films in the Canadian gold rush town of Dawson City . 533 reels of silent - era nitrate films had been buried under an abandoned hockey rink in 1929 and included lost films of feature movies and newsreels . A construction excavation inadvertently uncovered 533 reels of silent - era nitrate films . 
 The 2016 documentary Dawson City : Frozen Time details the history and recovery of 533 reels of silent - era nitrate films , and features footage restored from 533 reels of silent - era nitrate films . 


 = = Description = = 
 533 reels of silent - era nitrate films date "" between 1903 and 1929 and were uncovered in the rubble beneath an abandoned hockey rink an abandoned hockey rink "" . Works by Pearl White , Helen Holmes , Grace Cunard , Lois Weber , Harold Lloyd , Douglas Fairbanks , and Lon Chaney , among others , were among 533 reels of silent - era nitrate films . Along with lost films of feature movies and newsreels , there was also rare footage of historic events , including the 1919 World Series . 


 = = History = = 
 Beginning in 1903 , the Dawson Amateur Athletic Association ( DAAA ) began showing films in the Canadian gold rush town of Dawson City . The unreturned films were deposited in the local Canadian Bank of Commerce and later stored in the local Carnegie Library basement . the Dawson Amateur Athletic Association ( DAAA ) later converted a swimming pool to an ice rink , but because of improper conversion an abandoned hockey rink suffered from uneven temperatures in the middle of an abandoned hockey rink . In 1929 , Clifford Thomson , then employed by the local Canadian Bank of Commerce and also treasurer of the Dawson Amateur Athletic Association ( DAAA ) , solved the problem of local Carnegie Library stock of film and an abandoned hockey rink . Clifford Thomson , then employed by the local Canadian Bank of Commerce and also treasurer of the Dawson Amateur Athletic Association ( DAAA ) took 500,000 feet of film and stacked 500,000 feet of film in a swimming pool , covered 500,000 feet of film with boards and leveled an abandoned hockey rink with a layer of earth .   the Dawson Amateur Athletic Association ( DAAA ) continued to receive new nitrate films which would later fuel the destruction of the entire complex in a fire in 1951 . 533 reels of silent - era nitrate films were preserved by the permafrost and were later uncovered in 1978 when a new recreation center was being built . 
 The D",
0,"Estudios Quanta , in São Paulo , is a Brazilian film studio and the country 's largest rental house .   In 2010 , Effi Wizen was the head of visual effects for Estudios Quanta , in São Paulo . 


 = = References = = 


 = = External links = = 
 www.estudiosquanta.com.br",
0,"= = Highest - grossing films = = 

 The list has more 2019 films in the top 50 than any other year , with nine in total . The list is then followed by 2015 , 2016 , 2017 , and 2018 with six ; 2012 with five ; 2013 with four ; 2010 and 2011 with three ; and 2014 with two . Figures are given in United States dollars 


 = = = Highest - grossing film per year = = = 


 = = Most acclaimed films = = 

 On Rotten Tomatoes , the following six films of the 2010s received 100 % critics ' ratings . 
 The Tale of the Princess Kaguya ( 2013 ) 
 Paddington 2 ( 2017 ) 
 Summer 1993 ( 2017 ) 
 Leave No Trace ( 2018 ) 
 Minding the Gap ( 2018 ) 
 Honeyland ( 2019)Metacritic listed the following as the top ten highest rated films ( at the time of the following release ) of the 2010s . 
  Boyhood 
  Moonlight 
  Roma 
  Manchester by the Sea 
  12 Years a Slave 
  Gravity 
  Parasite 
  Portrait of a Lady on Fire 
  Carol 
  The Social NetworkMetacritic also listed the following films as most mentioned on critic 's lists of the best films of the 2010s . 
  Mad Max : Fury Road 
  Moonlight 
  The Social Network 
  Get Out 
  Under the Skin 
  The Tree of Life 
 ( Tie ) Inception and Inside Llewyn Davis 
  Boyhood 
  The MasterDen of Geek listed the following as the top ten best movies of the decade . 
 Parasite 
 Inception 
 Mad Max : Fury Road 
 Get Out 
 Her 
 Ex Machina 
 Spider - Man : Into the Spider - Verse 
 Hereditary 
 The Social Network 
 Star Wars : The Last JediRolling Stone magazine listed the following as the top ten best movies of the decade . 
 Moonlight 
 The Social Network 
 Holy Motors 
 Boyhood 
 Get Out 
 Toni Erdmann 
 The Master 
 Roma 
 Mad Max : Fury Road 
 CarolIndiewire listed the following as the top ten best movies of the decade . 

 Moonlight 
 Under the Skin 
 Certified Copy 
 The Act of Killing 
 Inside Llewyn Davis 
 Holy Motors 
 Carol 
 The Master 
 Mad Max : Fury Road 
 Lady BirdIn 2016 , BBC 's 100 Greatest Films of the 21st Century poll of film critics listed the following as the top ten best films of the 2010s so far . 
 Boyhood 
 The Tree of Life 
 A Separation 
 Inside Llewyn Davis 
 The Act of Killing 
 Holy Motors 
 Mad Max : Fury Road 
 The Grand",
