,subject,relation,object
0,Her career,spanned at_time,almost 70 years
1,her portrayal,is in,1950 film
2,her first leading role,is in,Rain
3,Kathy Selden,is in,Singin
4,her,album,titled Debbie.She
5,Unsinkable Molly Brown,film about,famously boisterous Molly Brown
6,Her other films,include,1966
7,Matter,is with,Helen
8,Charlotte,'s Web is,Mother
9,Charlotte,'s Web is,1973
10,Charlotte,has,Web
11,Charlotte,'s Web is,Golden Globe nomination
12,Reynolds,was,also cabaret performer
13,she,received,Golden Globe nomination
14,Debbie Reynolds Dance Studio,is in,North Hollywood
15,Best Lead Actress,is in,Musical
16,Reynolds,was,nominated for Tony Award for Best Lead Actress in Musical
17,Grace,'s mother is,Bobbi
18,her performance,is in,Gift of Love
19,Grace,has,mother
20,Aggie Cromwell,is in,Disney 's Halloweentown series
21,Disney,in,Halloweentown series
22,avid collector,is with,beginning items purchased at landmark 1970 MGM auction
23,beginning items,purchased at,landmark 1970 MGM auction
24,she,was,avid collector of film memorabilia beginning with items purchased at landmark 1970 MGM auction
25,she,was avid,memorabilia
26,she,received Jean Hersholt Humanitarian Award In,2016
27,Debbie Reynolds,be,her final film appearance
28,Debbie Reynolds,turned out,to her final film appearance
29,She,was raised in,strict Nazarene church
30,world,as,oldest living Girl Scout
31,Job,has,Daughters International
32,Job,of,Daughters
33,shack,is in,El Paso
34,you,can do,it
35,you,can do again,it
36,my mother,gave to,me
37,values,of sense is,same tone
38,Her family,moved in,1939
39,Reynolds,was,When 16 year old student at Burbank High School in 1948
40,Reynolds,was old,School
41,16 year old student,is in,1948
42,contract,is with,Warner Brothers
43,her teenaged years,is in,Burbank
44,She,drove,car
45,she,was,invited
46,she,was invited to,only one dance
47,she,has to,because has life
48,she,has to,because has kind life
49,young woman,is with,conscience
50,She,'s young,conscience
51,She,also has,refreshing sense of honesty
52,her,sign up with,their studio
53,she,was with,studio for two years
54,Warner Bros.,stopped,producing musicals
55,she,moved to,MGM
56,Two Weeks,is with,Love
57,Her performance,is in,film
58,He,made,me star
59,he,taught,me
60,her husband,role in,Unsinkable Molly Brown
61,Eddie Fisher.Her starring role,is in,Unsinkable Molly Brown
62,her,husband,Eddie Fisher.Her starring role in Unsinkable Molly Brown
