,h,t,r,type,newEntities,pair_c
0,Q282049,Q577,spanned at_time,KG,,default
1,her portrayal,Q11424,is in,Open_KG,head_,default
2,Q1765879,Q318485,is in,KG,,default
3,Q2889137,Singin,is in,Open_KG,tail_,default
4,her,Q1181414,album,Open_KG,head_,default
5,Q596583,Q229631,film about,KG,,default
6,Q684818,Q467223,is with,KG,,default
7,Q16565,Q25339558,'s Web is,KG,,default
8,Q16565,1973,'s Web is,Open_KG,tail_,default
9,Q16565,Q466,has,KG,,default
10,Q16565,Q983543,'s Web is,KG,,default
11,Q194402,Q713200,was,KG,,default
12,she,Q983543,received,Open_KG,head_,default
13,Q1181414,Q1319697,is in,KG,,default
14,Q7399819,Q2976730,is in,KG,,default
15,Q194402,Q191874,was,KG,,default
16,Q1668249,Q27688913,'s mother is,KG,,default
17,Q35140,Q7736415,is in,KG,,default
18,Q1668249,Q7560,has,KG,,default
19,Q44279,Q170198,is in,KG,,default
20,Q600095,Q859965,is with,KG,,default
21,Q859965,Q4895393,purchased at,KG,,default
22,she,Q600095,was,Open_KG,head_,default
23,she,Q212469,was avid,Open_KG,head_,default
24,she,2016,received Jean Hersholt Humanitarian Award In,Open_KG,head_tail_,default
25,Q263696,Q11424,turned out,KG,,default
26,She,Q16970,was raised in,Open_KG,head_,default
27,Q4577,Q3017011,has,KG,,default
28,Q5784097,Q16562,is in,KG,,default
29,you,it,can do,Open_KG,head_tail_,default
30,you,it,can do again,Open_KG,head_tail_,default
31,Q7560,me,gave to,Open_KG,tail_,default
32,Q194112,Q833734,of sense is,KG,,default
33,Q8436,1939,moved in,Open_KG,tail_,default
34,Q194402,Q48282,was,KG,,default
35,Q194402,Q30668273,was old,KG,,default
36,Q48282,1948,is in,Open_KG,tail_,default
37,Q93288,Q126399,is with,KG,,default
38,Q577,Q39561,is in,KG,,default
39,She,Q1420,drove,Open_KG,head_,default
40,she,invited,was,Open_KG,head_tail_,default
41,she,Q11639,was invited to,Open_KG,head_,default
42,she,Q3,has to,Open_KG,head_,default
43,she,Q3,has to,Open_KG,head_,default
44,Q20859937,Q193526,is with,KG,,default
45,She,Q193526,'s young,Open_KG,head_,default
46,She,Q173253,also has,Open_KG,head_,default
47,her,Q746628,sign up with,Open_KG,head_,default
48,she,Q746628,was with,Open_KG,head_,default
49,Q126399,Q2743,stopped,KG,,default
50,she,Q179200,moved to,Open_KG,head_,default
51,Q3735411,Q19829024,is with,KG,,default
52,Q35140,Q11424,is in,KG,,default
53,He,Q523,made,Open_KG,head_,default
54,he,me,taught,Open_KG,head_tail_,default
55,Q212878,Q596583,role in,KG,,default
56,Q363708,Q596583,is in,KG,,default
57,her,Q363708,husband,Open_KG,head_,default
58,its,Q953753,director,Open_KG,head_,default
59,she,Q953753,issues with,Open_KG,head_,default
60,Q86447,Q2526255,is with,KG,,default
61,she,Q86447,initially had,Open_KG,head_,default
